Codigo del Equipo;Value;Lon;Color;LEFT;TOP;Peso (KG)
CE617-MA070;3500;1590;orange;800px;140px;
CEA02-MA090;3500;1590;orange;800px;140px;
CED01-RE070;;;orange;800px;140px;
CEG01-WE090;;;orange;800px;140px;
CEG02-WE090;;;orange;800px;140px;
CEL01-TP020;1300;1000;orange;800px;140px;604
CO503-CU075;5010;2300;orange;800px;140px;3470
CO506-CU075;5010;2300;orange;800px;140px;3470
CO508-CU075H;4846;2159;orange;800px;140px;3402
CO607-CU082;4846;2159;orange;800px;140px;3565
CO608-CU082;4900;2200;orange;800px;140px;3215
CO615-CU082H;5140;2000;orange;800px;140px;4717
CO802-CA075H;4851;2210;orange;800px;140px;4554
CO901-CA090X;5944;2235;orange;800px;140px;7275
COA01-CA130H;6090;2240;white;800px;140px;7149
COB01-CA115X;5920;2220;gray;800px;140px;6882
COB02-CU075H;4950;2200;orange;800px;140px;3652
COB04-CA090H;5210;2250;white;800px;140px;4622
COC02-CU130H;6600;2250;gray;800px;140px;7200
COC03-CU130H;6600;2250;orange;800px;140px;7200
COD01-CU130H;6620;2250;white;800px;540px;7843
COD02-CA090X;6390;2260;gray;800px;540px;6765
COD03-CA090X;6390;2260;orange;800px;540px;6765
COD04-CA090X;6390;2260;white;800px;540px;6725
COD05-CA075V;5537;1667;gray;800px;540px;4739
COD06-CU082H;5140;2000;orange;800px;540px;4717
COE01-CA107X;6390;2260;white;800px;540px;6725
COE02-CA107X;6390;2260;gray;800px;540px;6725
COF01-CU075H;5400;2000;orange;800px;540px;4800
COG01-CU075H;3800;1900;white;800px;540px;3738
COG02-CU075H;5400;2000;gray;800px;540px;4280
COJ01-CA170X;5300;2250;orange;800px;540px;6292
COJ02-CU795H;2600;2000;white;800px;540px;4200
COJ03-CU053;3400;1720;gray;800px;540px;3300
COJ04-CU075;4920;2200;orange;800px;540px;4800
COK01-CU075H;3900;1800;white;800px;540px;4280
COK02-CU075H;3900;1800;gray;800px;540px;4280
COK03-CU075H;3900;1800;orange;800px;540px;4280
COK04-CU130H;6600;2250;white;800px;540px;
COL01-CU075;4956;2210;gray;800px;540px;3600
COL02-CU075;4956;2210;orange;800px;540px;3600
COL03-CA160H;;;white;800px;540px;
COL04-CA115X;;;gray;800px;540px;
COL05-CA115X;;;orange;800px;540px;
COL06-CU075;4956;2210;white;800px;540px;3600
COL07-JD037;3700;1400;gray;800px;540px;
COL08-JD037;3700;1400;orange;800px;540px;
COM02-CU075;5440;1960;white;800px;540px;3650
GE206-CA022;5110;1600;gray;800px;540px;5300
GE543-CA032;3870;1480;orange;800px;540px;4500
GE611-CA060;6050;2430;white;800px;540px;11000
GE703-CU100;6050;2430;gray;800px;540px;
GE704-CU050;6050;2430;orange;800px;540px;
GE708-CA010;3700;1140;white;800px;540px;
GE911-CU080;6050;2430;gray;800px;540px;12100
GE915-CU017;2970;1250;orange;800px;540px;
GE920-JD006;2570;980;white;800px;540px;
GEA11-CU110;6050;2430;gray;800px;540px;15000
GEA15-CU017;3300;1100;orange;800px;540px;2442
GEB17-CU017;3280;1080;white;800px;540px;1670
GEC06-CU025;4410;1270;gray;800px;540px;4500
GED02-CU027;3980;1420;orange;800px;540px;3590
GED05-CU150;12160;2352;white;800px;540px;25 tn
GED07-CU080;6050;2430;gray;800px;540px;10300
GED12-CU050;5490;1810;orange;800px;540px;8300
GED13-CU050;5490;1810;white;800px;540px;8300
GED18-CU010;3000;1000;gray;800px;540px;1816
GED19-CA040;5490;1810;orange;800px;540px;
GED25-CU080;6050;2430;white;800px;540px;10531
GEE01-CA140;12370;2430;gray;800px;540px;22000
GEE02-CU013;3300;1100;orange;800px;540px;2060
GEE03-CU100;6050;2430;white;800px;540px;12000
GEE04-CU013;3280;1080;gray;800px;540px;
GEE05-CU013;3280;1080;orange;800px;540px;2100
GEE06-CA027;3540;1290;white;800px;540px;3000
GEE08-CA030;4450;1420;gray;800px;540px;4390
GEE11-CU013;3280;1080;orange;800px;540px;2100
GEF01-CU017;3500;1080;white;800px;540px;2150
GEF02-CU002;2240;980;gray;800px;540px;1340
GEF03-CU015;3710;1150;orange;800px;540px;2590
GEF05-CA060;6050;2430;white;800px;540px;8520
GEF08-CA160;12160;2352;gray;800px;540px;
GEF09-CA200;;;orange;800px;540px;
GEF10-CU020;3600;1100;white;800px;540px;2590
GEF12-CA600;5870;1900;gray;800px;540px;9000
GEF13-CU010;3100;1100;orange;800px;540px;1900
GEF17-CA150;12370;2430;white;800px;540px;
GEF18-CA060;6050;2430;gray;800px;540px;11000
GEG02-CA045;4940;1760;orange;800px;540px;
GEG03-CA060;5600;1900;white;800px;540px;5500
GEG05-CA055;5600;1900;gray;800px;540px;
GEG06-CA045;5100;1700;orange;800px;540px;5100
GEG08-CU125;5300;1770;white;800px;540px;
GEG10-JD006;2300;1060;gray;800px;540px;1405
GEG11-JD006;2300;1200;orange;800px;540px;1332
GEG12-JD006;2300;1060;white;800px;540px;1405
GEG13-JD010;2560;1100;gray;800px;540px;1514
GEG14-JD012;3508;1200;orange;800px;540px;2088
GEG15-JD012;3508;1200;orange;800px;140px;2088
GEG17-JD008;;;white;800px;140px;
GEG18-CA110;5040;2100;gray;800px;140px;20000
GEG19-CA200;16000;2600;orange;800px;140px;28000
GEG20-CA150;10000;2440;white;800px;140px;14500
GEG21-CA150;12000;2430;gray;800px;140px;20000
GEG22-CU010;3000;1000;orange;800px;140px;1760
GEH02-CA080;;;white;800px;540px;
GEH03-CA125;;;gray;800px;540px;14200
GEH04-CU035;4300;1410;orange;800px;540px;4350
GEH05-CU040;5000;1620;white;800px;540px;5612
GEH07-JD008;2300;1060;gray;800px;540px;1476
